"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"32","tt0056869","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Birds","Feature Film","Alfred Hitchcock","7.9","119","1963","horror, thriller","76203","1963-03-28","http://www.imdb.com/title/tt0056869/"
"33","tt0058430","Fri Sep  7 09:05:30 2012","Fri Sep  7 09:05:30 2012","","Onibaba","Feature Film","Kaneto Shindô","8.0","103","1964","horror","6142","1964-11-21","http://www.imdb.com/title/tt0058430/"
"34","tt0059646","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Repulsion","Feature Film","Roman Polanski","7.8","105","1965","drama, horror, mystery, thriller","20384","1965-05","http://www.imdb.com/title/tt0059646/"
"35","tt0061655","Thu Oct 25 09:06:25 2012","Thu Oct 25 09:06:25 2012","","The Fearless Vampire Killers","Feature Film","Roman Polanski","7.2","108","1967","comedy, horror","15092","1967-06","http://www.imdb.com/title/tt0061655/"
"36","tt0063522","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Rosemary's Baby","Feature Film","Roman Polanski","8.0","136","1968","drama, horror, mystery","83693","1968-06-12","http://www.imdb.com/title/tt0063522/"
"37","tt0063350","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Night of the Living Dead","Feature Film","George A. Romero","8.0","96","1968","horror, sci_fi","56464","1968-10-01","http://www.imdb.com/title/tt0063350/"
"38","tt0070047","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Exorcist","Feature Film","William Friedkin","8.1","122","1973","drama, horror","174239","1973-06-19","http://www.imdb.com/title/tt0070047/"
"39","tt0072271","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Texas Chain Saw Massacre","Feature Film","Tobe Hooper","7.5","83","1974","horror, thriller","55612","1974-10-01","http://www.imdb.com/title/tt0072271/"
"40","tt0073195","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Jaws","Feature Film","Steven Spielberg","8.2","124","1975","thriller","216836","1975-06-20","http://www.imdb.com/title/tt0073195/"
"41","tt0073582","Thu Oct 18 08:54:32 2012","Thu Oct 18 08:54:32 2012","","Deep Red","Feature Film","Dario Argento","7.6","126","1975","horror, mystery, thriller","13107","1975-03-07","http://www.imdb.com/title/tt0073582/"
"42","tt0074285","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Carrie","Feature Film","Brian De Palma","7.4","98","1976","drama, horror","63891","1976-11-03","http://www.imdb.com/title/tt0074285/"
"43","tt0075005","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Omen","Feature Film","Richard Donner","7.6","111","1976","horror","46405","1976-06-25","http://www.imdb.com/title/tt0075005/"
"44","tt0074486","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Eraserhead","Feature Film","David Lynch","7.3","85","1977","fantasy, horror, sci_fi","39351","1977-03-19","http://www.imdb.com/title/tt0074486/"
"45","tt0076786","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Suspiria","Feature Film","Dario Argento","7.4","98","1977","horror, thriller","27156","1977-02-01","http://www.imdb.com/title/tt0076786/"
"46","tt0077651","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Halloween","Feature Film","John Carpenter","7.9","91","1978","horror","95782","1978-10-25","http://www.imdb.com/title/tt0077651/"
"47","tt0077402","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Dawn of the Dead","Feature Film","George A. Romero","8.0","127","1978","horror, sci_fi","60212","1978-09-02","http://www.imdb.com/title/tt0077402/"
"48","tt0078748","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Alien","Feature Film","Ridley Scott","8.5","117","1979","horror, sci_fi","292981","1979-05-25","http://www.imdb.com/title/tt0078748/"
"49","tt0078908","Wed Aug  1 07:44:13 2012","Wed Aug  1 07:44:13 2012","","The Brood","Feature Film","David Cronenberg","6.8","92","1979","horror, sci_fi","10114","1979-05-25","http://www.imdb.com/title/tt0078908/"
"50","tt0079641","Thu Oct 11 08:57:42 2012","Thu Oct 11 08:57:42 2012","","Nosferatu the Vampyre","Feature Film","Werner Herzog","7.5","107","1979","horror","13853","1979-01-17","http://www.imdb.com/title/tt0079641/"
"51","tt0081505","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Shining","Feature Film","Stanley Kubrick","8.5","","1980","horror, mystery","301484","1980-05-23","http://www.imdb.com/title/tt0081505/"
"52","tt0080923","Thu Oct 18 08:55:03 2012","Thu Oct 18 08:55:03 2012","","Inferno","Feature Film","Dario Argento","6.6","107","1980","horror","7278","1980-02-07","http://www.imdb.com/title/tt0080923/"
"53","tt0080761","Thu Oct 11 09:00:05 2012","Thu Oct 11 09:00:05 2012","","Friday the 13th","Feature Film","Sean S. Cunningham","6.4","95","1980","horror, mystery, thriller","46101","1980-05-09","http://www.imdb.com/title/tt0080761/"
"54","tt0080516","Thu Oct 11 08:57:59 2012","Thu Oct 11 08:57:59 2012","","The Changeling","Feature Film","Peter Medak","7.3","107","1980","horror, thriller","13603","1980-03-28","http://www.imdb.com/title/tt0080516/"
"55","tt0082010","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","An American Werewolf in London","Feature Film","John Landis","7.6","97","1981","horror, thriller","37359","1981-08-21","http://www.imdb.com/title/tt0082010/"
