"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"86","tt0119715","Mon Jul  2 00:25:07 2012","Mon Jul  2 00:25:07 2012","","Mousehunt","Feature Film","Gore Verbinski","6.2","98","1997","comedy, family","25598","1997-12-19","http://www.imdb.com/title/tt0119715/"
"87","tt0241527","Sun Jul  1 23:53:57 2012","Sun Jul  1 23:53:57 2012","","Harry Potter and the Sorcerer's Stone","Feature Film","Chris Columbus","7.3","152","2001","adventure, family, fantasy","235863","2001-11-04","http://www.imdb.com/title/tt0241527/"
"88","tt1430607","Mon Jul  2 00:27:01 2012","Mon Jul  2 00:27:01 2012","","Arthur Christmas","Feature Film","Sarah Smith, Barry Cook","7.0","97","2011","animation, comedy, drama, family","8294","2011-11-11","http://www.imdb.com/title/tt1430607/"
"89","tt0453451","Mon Jul  2 00:34:23 2012","Mon Jul  2 00:34:23 2012","","Mr. Bean's Holiday","Feature Film","Steve Bendelack","6.1","90","2007","comedy, family","50136","2007-03-22","http://www.imdb.com/title/tt0453451/"
"90","tt0088323","Mon Jul  2 00:16:28 2012","Mon Jul  2 00:16:28 2012","","The NeverEnding Story","Feature Film","Wolfgang Petersen","7.4","102","1984","adventure, drama, family, fantasy","51074","1984-04-06","http://www.imdb.com/title/tt0088323/"
"91","tt1067106","Mon Jul  2 00:28:37 2012","Mon Jul  2 00:28:37 2012","","A Christmas Carol","Feature Film","Robert Zemeckis","6.8","96","2009","animation, comedy, drama, family, fantasy","33915","2009-11-03","http://www.imdb.com/title/tt1067106/"
"92","tt0107614","Mon Jul  2 00:04:43 2012","Mon Jul  2 00:04:43 2012","","Mrs. Doubtfire","Feature Film","Chris Columbus","6.7","125","1993","comedy, drama","94116","1993-11-24","http://www.imdb.com/title/tt0107614/"
"93","tt0358082","Mon Jul  2 00:29:24 2012","Mon Jul  2 00:29:24 2012","","Robots","Feature Film","Chris Wedge, Carlos Saldanha","6.3","91","2005","animation, adventure, comedy, family, romance, sci_fi","54539","2005-03-10","http://www.imdb.com/title/tt0358082/"
"94","tt1001526","Mon Jul  2 00:13:59 2012","Mon Jul  2 00:13:59 2012","","Megamind","Feature Film","Tom McGrath","7.3","95","2010","animation, action, comedy, family, sci_fi","81249","2010-10-28","http://www.imdb.com/title/tt1001526/"
"95","tt0371606","Mon Jul  2 00:28:51 2012","Mon Jul  2 00:28:51 2012","","Chicken Little","Feature Film","Mark Dindal","5.8","81","2005","animation, adventure, comedy, family, sci_fi","32760","2005-10-30","http://www.imdb.com/title/tt0371606/"
"96","tt0048280","Mon Jul  2 00:31:34 2012","Mon Jul  2 00:31:34 2012","","Lady and the Tramp","Feature Film","Clyde Geronimi, Wilfred Jackson","7.4","76","1955","animation, family, music, romance","34471","1955-06-16","http://www.imdb.com/title/tt0048280/"
"97","tt0032138","Mon Jul  2 01:21:10 2012","Mon Jul  2 01:21:10 2012","","The Wizard of Oz","Feature Film","Victor Fleming","8.2","101","1939","adventure, family, fantasy, musical","156180","1939-08-12","http://www.imdb.com/title/tt0032138/"
"98","tt0042332","Mon Jul  2 01:19:26 2012","Mon Jul  2 01:19:26 2012","","Cinderella","Feature Film","Clyde Geronimi, Wilfred Jackson","7.3","74","1950","animation, family, fantasy, musical, romance","48113","1950-02-15","http://www.imdb.com/title/tt0042332/"
"99","tt0120587","Mon Jul  2 00:21:24 2012","Mon Jul  2 00:21:24 2012","","Antz","Feature Film","Eric Darnell, Tim Johnson","6.7","83","1998","animation, adventure, comedy, family","71529","1998-09-19","http://www.imdb.com/title/tt0120587/"
"100","tt0120623","Mon Jul  2 00:13:23 2012","Mon Jul  2 00:13:23 2012","","A Bug's Life","Feature Film","John Lasseter, Andrew Stanton","7.2","95","1998","animation, adventure, comedy, family","112964","1998-11-14","http://www.imdb.com/title/tt0120623/"
