"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"33","tt0230600","Thu Oct 18 10:53:12 2012","Thu Oct 18 10:53:12 2012","","The Others","Feature Film","Alejandro Amenábar","7.6","101","2001","drama, mystery, thriller","156553","2001-08-02","http://www.imdb.com/title/tt0230600/"
"34","tt0264616","Thu Oct 18 10:55:05 2012","Thu Oct 18 10:55:05 2012","","Frailty","Feature Film","Bill Paxton","7.3","100","2001","crime, drama, thriller","38194","2001-11-17","http://www.imdb.com/title/tt0264616/"
"35","tt0110631","Thu Oct 18 10:55:43 2012","Thu Oct 18 10:55:43 2012","","Nightwatch","Feature Film","Ole Bornedal","7.3","107","1994","thriller","8002","1994-02-25","http://www.imdb.com/title/tt0110631/"
"36","tt0112922","Thu Oct 18 10:56:04 2012","Thu Oct 18 10:56:04 2012","","The Day of the Beast","Feature Film","Alex de la Iglesia","7.5","103","1995","action, comedy, crime, horror, thriller","7393","1995-09-15","http://www.imdb.com/title/tt0112922/"
"37","tt0074811","Thu Oct 18 11:05:25 2012","Thu Oct 18 11:05:25 2012","","The Tenant","Feature Film","Roman Polanski","7.7","126","1976","thriller","16002","1976-05-26","http://www.imdb.com/title/tt0074811/"
"38","tt0081505","Thu Oct 18 10:57:25 2012","Thu Oct 18 10:57:25 2012","","The Shining","Feature Film","Stanley Kubrick","8.5","","1980","horror, mystery","301484","1980-05-23","http://www.imdb.com/title/tt0081505/"
"39","tt0083907","Thu Oct 18 10:59:01 2012","Thu Oct 18 10:59:01 2012","","The Evil Dead","Feature Film","Sam Raimi","7.6","85","1981","horror","73389","1981-10-15","http://www.imdb.com/title/tt0083907/"
"40","tt0091064","Thu Oct 18 10:59:28 2012","Thu Oct 18 10:59:28 2012","","The Fly","Feature Film","David Cronenberg","7.5","96","1986","horror, sci_fi","65933","1986-08-15","http://www.imdb.com/title/tt0091064/"
"41","tt0084787","Thu Oct 18 11:00:06 2012","Thu Oct 18 11:00:06 2012","","The Thing","Feature Film","John Carpenter","8.2","109","1982","horror, mystery, sci_fi, thriller","142757","1982-06-25","http://www.imdb.com/title/tt0084787/"
"42","tt0078748","Thu Oct 18 11:00:21 2012","Thu Oct 18 11:00:21 2012","","Alien","Feature Film","Ridley Scott","8.5","117","1979","horror, sci_fi","292981","1979-05-25","http://www.imdb.com/title/tt0078748/"
"43","tt0090605","Thu Oct 18 11:00:30 2012","Thu Oct 18 11:00:30 2012","","Aliens","Feature Film","James Cameron","8.5","137","1986","action, adventure, sci_fi, thriller","267735","1986-07-18","http://www.imdb.com/title/tt0090605/"
"44","tt0093773","Thu Oct 18 11:00:39 2012","Thu Oct 18 11:00:39 2012","","Predator","Feature Film","John McTiernan","7.9","107","1987","action, adventure, sci_fi","163546","1987-06-12","http://www.imdb.com/title/tt0093773/"
"45","tt0077651","Thu Oct 18 11:03:10 2012","Thu Oct 18 11:03:10 2012","","Halloween","Feature Film","John Carpenter","7.9","91","1978","horror","95782","1978-10-25","http://www.imdb.com/title/tt0077651/"
"46","tt0096163","Thu Oct 18 10:56:46 2012","Thu Oct 18 10:56:46 2012","","The Vanishing","Feature Film","George Sluizer","7.9","107","1988","mystery, thriller","15439","1988-08-29","http://www.imdb.com/title/tt0096163/"
"47","tt0077914","Thu Oct 18 11:03:51 2012","Thu Oct 18 11:03:51 2012","","Martin","Feature Film","George A. Romero","7.0","95","1976","drama, horror","4925","1976","http://www.imdb.com/title/tt0077914/"
"48","tt0189998","Thu Oct 18 11:04:29 2012","Thu Oct 18 11:04:29 2012","","Shadow of the Vampire","Feature Film","E. Elias Merhige","6.9","92","2000","drama, horror","24241","2000-05-15","http://www.imdb.com/title/tt0189998/"
"49","tt0129332","Thu Oct 18 11:04:12 2012","Thu Oct 18 11:04:12 2012","","Ravenous","Feature Film","Antonia Bird","7.0","101","1999","drama, history, horror, thriller, war, western","19980","1999-03-16","http://www.imdb.com/title/tt0129332/"
"50","tt1437358","Thu Oct 18 11:05:02 2012","Thu Oct 18 11:05:02 2012","","Sleep Tight","Feature Film","Jaume Balagueró","7.1","102","2011","horror, thriller","4905","2011-09-23","http://www.imdb.com/title/tt1437358/"
"51","tt1629377","Thu Oct 18 11:05:11 2012","Thu Oct 18 11:05:11 2012","","Kidnapped","Feature Film","Miguel Ángel Vivas","6.4","85","2010","horror, thriller","2752","2010-09-25","http://www.imdb.com/title/tt1629377/"
"52","tt0468820","Fri Oct 19 10:38:48 2012","Fri Oct 19 10:38:48 2012","","Noriko's Dinner Table","Feature Film","Shion Sono","7.2","159","2005","drama, horror","1540","2005-07-04","http://www.imdb.com/title/tt0468820/"
"53","tt0312843","Thu Oct 18 11:07:20 2012","Thu Oct 18 11:07:20 2012","","Suicide Club","Feature Film","Shion Sono","6.6","99","2001","crime, drama, horror, mystery, thriller","9476","2001-10-29","http://www.imdb.com/title/tt0312843/"
"54","tt0290329","Thu Oct 18 11:06:07 2012","Thu Oct 18 11:06:07 2012","","Visitor Q","Video","Takashi Miike","6.9","84","2001","comedy, drama, horror, thriller","8261","2001-03-17","http://www.imdb.com/title/tt0290329/"
"55","tt0472458","Thu Oct 18 11:06:36 2012","Thu Oct 18 11:06:36 2012","","Dumplings","Feature Film","Fruit Chan","6.8","91","2004","drama, horror","3977","2004-08-19","http://www.imdb.com/title/tt0472458/"
"56","tt1316536","Thu Oct 18 11:06:53 2012","Thu Oct 18 11:06:53 2012","","The Loved Ones","Feature Film","Sean Byrne","6.7","84","2009","crime, drama, horror, thriller","10565","2009-09-13","http://www.imdb.com/title/tt1316536/"
"57","tt0416315","Thu Oct 18 11:08:48 2012","Thu Oct 18 11:08:48 2012","","Wolf Creek","Feature Film","Greg Mclean","6.2","99","2005","horror","35464","2005-01","http://www.imdb.com/title/tt0416315/"
"58","tt0808276","Thu Oct 18 11:08:57 2012","Thu Oct 18 11:08:57 2012","","Cold Prey","Feature Film","Roar Uthaug","6.3","","2006","drama, horror, mystery, thriller","8137","2006-10-13","http://www.imdb.com/title/tt0808276/"
"59","tt0338095","Thu Oct 18 11:09:25 2012","Thu Oct 18 11:09:25 2012","","High Tension","Feature Film","Alexandre Aja","6.8","91","2003","horror, mystery, thriller","35302","2003-06-18","http://www.imdb.com/title/tt0338095/"
"60","tt0830558","Thu Oct 18 11:09:42 2012","Thu Oct 18 11:09:42 2012","","The Girl Next Door","Feature Film","Gregory M. Wilson","6.8","91","2007","crime, drama, horror, thriller","10058","2007-07-19","http://www.imdb.com/title/tt0830558/"
"61","tt1714208","Thu Oct 18 11:10:30 2012","Thu Oct 18 11:10:30 2012","","The Woman","Feature Film","Lucky McKee","6.1","101","2011","crime, drama, horror, thriller","8096","2011-01-23","http://www.imdb.com/title/tt1714208/"
"62","tt0365748","Thu Oct 18 11:12:35 2012","Thu Oct 18 11:12:35 2012","","Shaun of the Dead","Feature Film","Edgar Wright","8.0","99","2004","comedy, horror","220489","2004-03-29","http://www.imdb.com/title/tt0365748/"
"63","tt0304262","Thu Oct 18 11:14:40 2012","Thu Oct 18 11:14:40 2012","","The Happiness of the Katakuris","Feature Film","Takashi Miike","7.1","113","2001","comedy, horror, musical, romance, thriller","5028","2001-10-31","http://www.imdb.com/title/tt0304262/"
"64","tt0162661","Thu Oct 18 11:15:58 2012","Thu Oct 18 11:15:58 2012","","Sleepy Hollow","Feature Film","Tim Burton","7.5","105","1999","horror, mystery","165799","1999-11-17","http://www.imdb.com/title/tt0162661/"
"65","tt0308152","Thu Oct 18 11:07:06 2012","Thu Oct 18 11:07:06 2012","","Dead End","Feature Film","Jean-Baptiste Andrea, Fabrice Canepa","6.7","85","2003","horror, mystery, thriller, comedy","12498","2003-01-30","http://www.imdb.com/title/tt0308152/"
"66","tt0109592","Thu Oct 18 11:17:00 2012","Thu Oct 18 11:17:00 2012","","Cemetery Man","Feature Film","Michele Soavi","7.2","105","1994","comedy, horror","11068","1994-03-25","http://www.imdb.com/title/tt0109592/"
"67","tt0410730","Thu Oct 18 11:18:12 2012","Thu Oct 18 11:18:12 2012","","Taxidermia","Feature Film","György Pálfi","6.8","91","2006","comedy, drama, horror","7896","2006-02-03","http://www.imdb.com/title/tt0410730/"
"68","tt0342492","Thu Oct 18 11:19:47 2012","Thu Oct 18 11:19:47 2012","","The Green Butchers","Feature Film","Anders Thomas Jensen","7.2","100","2003","comedy, drama","7326","2003-03-08","http://www.imdb.com/title/tt0342492/"
"69","tt0407236","Thu Oct 18 11:20:12 2012","Thu Oct 18 11:20:12 2012","","Lunacy","Feature Film","Jan Svankmajer","7.1","118","2005","comedy, horror","1744","2005-11-03","http://www.imdb.com/title/tt0407236/"
"70","tt1226681","Thu Oct 18 11:20:25 2012","Thu Oct 18 11:20:25 2012","","Pontypool","Feature Film","Bruce McDonald","6.7","93","2008","horror, sci_fi, thriller","11154","2008-09-06","http://www.imdb.com/title/tt1226681/"
"71","tt0439815","Thu Oct 18 11:20:47 2012","Thu Oct 18 11:20:47 2012","","Slither","Feature Film","James Gunn","6.5","95","2006","comedy, horror, sci_fi","39527","2006-03-31","http://www.imdb.com/title/tt0439815/"
"72","tt0103873","Thu Oct 18 11:21:07 2012","Thu Oct 18 11:21:07 2012","","Dead Alive","Feature Film","Peter Jackson","7.6","104","1992","comedy, horror","51320","1992-05","http://www.imdb.com/title/tt0103873/"
"73","tt0082010","Thu Oct 18 11:46:56 2012","Thu Oct 18 11:46:56 2012","","An American Werewolf in London","Feature Film","John Landis","7.6","97","1981","horror, thriller","37359","1981-08-21","http://www.imdb.com/title/tt0082010/"
"74","tt0089885","Thu Oct 18 11:21:17 2012","Thu Oct 18 11:21:17 2012","","Re-Animator","Feature Film","Stuart Gordon","7.3","","1985","horror, sci_fi","21404","1985-10-18","http://www.imdb.com/title/tt0089885/"
"75","tt0063350","Thu Oct 18 11:21:34 2012","Thu Oct 18 11:21:34 2012","","Night of the Living Dead","Feature Film","George A. Romero","8.0","96","1968","horror, sci_fi","56464","1968-10-01","http://www.imdb.com/title/tt0063350/"
"76","tt0077402","Thu Oct 18 11:21:50 2012","Thu Oct 18 11:21:50 2012","","Dawn of the Dead","Feature Film","George A. Romero","8.0","127","1978","horror, sci_fi","60212","1978-09-02","http://www.imdb.com/title/tt0077402/"
"77","tt0363547","Thu Oct 18 11:22:01 2012","Thu Oct 18 11:22:01 2012","","Dawn of the Dead","Feature Film","Zack Snyder","7.4","101","2004","action, horror, sci_fi, thriller","118885","2004-03-10","http://www.imdb.com/title/tt0363547/"
"78","tt0462322","Thu Oct 18 11:22:30 2012","Thu Oct 18 11:22:30 2012","","Grindhouse","Feature Film","Robert Rodriguez, Eli Roth","7.7","191","2007","action, horror, thriller","110870","2007-04-06","http://www.imdb.com/title/tt0462322/"
"79","tt0395584","Thu Oct 18 11:39:18 2012","Thu Oct 18 11:39:18 2012","","The Devil's Rejects","Feature Film","Rob Zombie","6.8","107","2005","horror","51108","2005-05-11","http://www.imdb.com/title/tt0395584/"
"80","tt0454841","Thu Oct 18 11:39:59 2012","Thu Oct 18 11:39:59 2012","","The Hills Have Eyes","Feature Film","Alexandre Aja","6.4","107","2006","horror, thriller","77137","2006-03-10","http://www.imdb.com/title/tt0454841/"
"81","tt0324216","Thu Oct 18 11:40:14 2012","Thu Oct 18 11:40:14 2012","","The Texas Chainsaw Massacre","Feature Film","Marcus Nispel","6.1","98","2003","horror, thriller","67304","2003-10-15","http://www.imdb.com/title/tt0324216/"
"82","tt1127180","Thu Oct 18 11:40:31 2012","Thu Oct 18 11:40:31 2012","","Drag Me to Hell","Feature Film","Sam Raimi","6.8","99","2009","horror, thriller","96562","2009-03-15","http://www.imdb.com/title/tt1127180/"
"83","tt0303361","Thu Oct 18 11:49:28 2012","Thu Oct 18 11:49:28 2012","","May","Feature Film","Lucky McKee","6.7","93","2002","drama, horror, thriller","17285","2002-01-13","http://www.imdb.com/title/tt0303361/"
"84","tt0468492","Thu Oct 18 11:47:18 2012","Thu Oct 18 11:47:18 2012","","The Host","Feature Film","Joon-ho Bong","7.0","119","2006","horror, sci_fi, thriller","41426","2006-05-21","http://www.imdb.com/title/tt0468492/"
"85","tt1060277","Thu Oct 18 11:47:29 2012","Thu Oct 18 11:47:29 2012","","Cloverfield","Feature Film","Matt Reeves","7.2","85","2008","horror, sci_fi, thriller","193307","2008-01-16","http://www.imdb.com/title/tt1060277/"
"86","tt0780571","Thu Oct 18 11:42:59 2012","Thu Oct 18 11:42:59 2012","","Mr. Brooks","Feature Film","Bruce A. Evans","7.4","120","2007","crime, drama, mystery, thriller","80633","2007-05-22","http://www.imdb.com/title/tt0780571/"
"87","tt0054215","Thu Oct 18 11:43:24 2012","Thu Oct 18 11:43:24 2012","","Psycho","Feature Film","Alfred Hitchcock","8.6","109","1960","horror, mystery, thriller","219650","1960-06-16","http://www.imdb.com/title/tt0054215/"
"88","tt0056869","Thu Oct 18 11:43:39 2012","Thu Oct 18 11:43:39 2012","","The Birds","Feature Film","Alfred Hitchcock","7.9","119","1963","horror, thriller","76203","1963-03-28","http://www.imdb.com/title/tt0056869/"
"89","tt0074486","Thu Oct 18 11:44:56 2012","Thu Oct 18 11:44:56 2012","","Eraserhead","Feature Film","David Lynch","7.3","85","1977","fantasy, horror, sci_fi","39351","1977-03-19","http://www.imdb.com/title/tt0074486/"
"90","tt0086541","Thu Oct 18 11:44:31 2012","Thu Oct 18 11:44:31 2012","","Videodrome","Feature Film","David Cronenberg","7.3","87","1983","horror, sci_fi","33881","1983-02-04","http://www.imdb.com/title/tt0086541/"
"91","tt0082933","Thu Oct 18 11:44:12 2012","Thu Oct 18 11:44:12 2012","","Possession","Feature Film","Andrzej Zulawski","7.1","127","1981","drama, horror","5713","1981-05-25","http://www.imdb.com/title/tt0082933/"
"92","tt0098253","Thu Oct 18 11:47:59 2012","Thu Oct 18 11:47:59 2012","","Santa Sangre","Feature Film","Alejandro Jodorowsky","7.5","123","1989","thriller","7830","1989-05","http://www.imdb.com/title/tt0098253/"
"93","tt0076786","Thu Oct 18 11:45:35 2012","Thu Oct 18 11:45:35 2012","","Suspiria","Feature Film","Dario Argento","7.4","98","1977","horror, thriller","27156","1977-02-01","http://www.imdb.com/title/tt0076786/"
"94","tt0099871","Thu Oct 18 11:45:56 2012","Thu Oct 18 11:45:56 2012","","Jacob's Ladder","Feature Film","Adrian Lyne","7.5","113","1990","drama, horror, mystery","46178","1990-11-02","http://www.imdb.com/title/tt0099871/"
"95","tt0063633","Thu Oct 18 11:46:16 2012","Thu Oct 18 11:46:16 2012","","The Cremator","Feature Film","Juraj Herz","7.9","95","1969","comedy, drama, horror, thriller","2538","1969-03-14","http://www.imdb.com/title/tt0063633/"
"96","tt0070917","Thu Oct 18 11:48:50 2012","Thu Oct 18 11:48:50 2012","","The Wicker Man","Feature Film","Robin Hardy","7.7","88","1973","horror, musical, mystery","28778","1973-12","http://www.imdb.com/title/tt0070917/"
"97","tt0063522","Thu Oct 18 11:49:54 2012","Thu Oct 18 11:49:54 2012","","Rosemary's Baby","Feature Film","Roman Polanski","8.0","136","1968","drama, horror, mystery","83693","1968-06-12","http://www.imdb.com/title/tt0063522/"
"98","tt0075005","Thu Oct 18 11:50:42 2012","Thu Oct 18 11:50:42 2012","","The Omen","Feature Film","Richard Donner","7.6","111","1976","horror","46405","1976-06-25","http://www.imdb.com/title/tt0075005/"
"99","tt0070047","Thu Oct 18 11:51:07 2012","Thu Oct 18 11:51:07 2012","","The Exorcist","Feature Film","William Friedkin","8.1","122","1973","drama, horror","174239","1973-06-19","http://www.imdb.com/title/tt0070047/"
"100","tt0100157","Thu Oct 18 11:54:25 2012","Thu Oct 18 11:54:25 2012","","Misery","Feature Film","Rob Reiner","7.8","107","1990","thriller","73077","1990-11-30","http://www.imdb.com/title/tt0100157/"
