"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"73","tt0119174","Sat Mar 10 02:55:38 2012","Sat Mar 10 02:55:38 2012","","The Game","Feature Film","David Fincher","7.7","129","1997","drama, mystery, thriller","140532","1997-09-12","http://www.imdb.com/title/tt0119174/"
"74","tt0116922","Sat Mar 10 02:56:26 2012","Sat Mar 10 02:56:26 2012","","Lost Highway","Feature Film","David Lynch","7.6","134","1997","drama, mystery, thriller","60605","1997-01-15","http://www.imdb.com/title/tt0116922/"
"75","tt0123755","Sat Mar 10 03:43:51 2012","Sat Mar 10 03:43:51 2012","","Cube","Feature Film","Vincenzo Natali","7.4","90","1997","horror, mystery, sci_fi, thriller","89065","1997-09-09","http://www.imdb.com/title/tt0123755/"
"76","tt0119167","Fri Jun 22 10:09:00 2012","Fri Jun 22 10:09:00 2012","","Funny Games","Feature Film","Michael Haneke","7.6","108","1997","crime, drama, thriller","24279","1997-05-14","http://www.imdb.com/title/tt0119167/"
"77","tt0118564","Sat Mar 10 02:51:29 2012","Sat Mar 10 02:51:29 2012","","Affliction","Feature Film","Paul Schrader","7.0","114","1997","drama, mystery, thriller","8647","1997-08-28","http://www.imdb.com/title/tt0118564/"
"78","tt0125659","Sat Mar 10 02:56:05 2012","Sat Mar 10 02:56:05 2012","","Open Your Eyes","Feature Film","Alejandro Amenábar","7.8","117","1997","drama, mystery, romance, sci_fi, thriller","34289","1997-12-19","http://www.imdb.com/title/tt0125659/"
"79","tt0138704","Sat Mar 10 03:06:14 2012","Sat Mar 10 03:06:14 2012","","Pi","Feature Film","Darren Aronofsky","7.5","84","1998","drama, sci_fi, thriller","88769","1998-01","http://www.imdb.com/title/tt0138704/"
"80","tt0118636","Wed Aug 15 08:29:43 2012","Wed Aug 15 08:29:43 2012","","Apt Pupil","Feature Film","Bryan Singer","6.6","111","1998","drama, thriller","20722","1998-09-09","http://www.imdb.com/title/tt0118636/"
"81","tt0154506","Sat Mar 10 03:09:11 2012","Sat Mar 10 03:09:11 2012","","Following","Feature Film","Christopher Nolan","7.6","69","1998","crime, drama, mystery, thriller","32885","1998-09-12","http://www.imdb.com/title/tt0154506/"
"82","tt0167404","Sat Mar 10 02:54:45 2012","Sat Mar 10 02:54:45 2012","","The Sixth Sense","Feature Film","M. Night Shyamalan","8.2","107","1999","drama, mystery, thriller","387588","1999-08-02","http://www.imdb.com/title/tt0167404/"
"83","tt0137523","Sat Mar 10 02:56:11 2012","Sat Mar 10 02:56:11 2012","","Fight Club","Feature Film","David Fincher","8.9","139","1999","drama","648764","1999-09-10","http://www.imdb.com/title/tt0137523/"
"84","tt0139809","Thu Oct 11 08:23:35 2012","Thu Oct 11 08:23:35 2012","","The Thirteenth Floor","Feature Film","Josef Rusnak","6.8","100","1999","mystery, sci_fi, thriller","30585","1999-04-16","http://www.imdb.com/title/tt0139809/"
"85","tt0137363","Sat Mar 10 02:59:40 2012","Sat Mar 10 02:59:40 2012","","Arlington Road","Feature Film","Mark Pellington","7.2","117","1999","thriller","49291","1999-03-19","http://www.imdb.com/title/tt0137363/"
"86","tt0134119","Sat Mar 10 02:56:22 2012","Sat Mar 10 02:56:22 2012","","The Talented Mr. Ripley","Feature Film","Anthony Minghella","7.3","139","1999","crime, drama, thriller","86732","1999-12-12","http://www.imdb.com/title/tt0134119/"
"87","tt0209958","Thu Oct  4 09:10:15 2012","Thu Oct  4 09:10:15 2012","","The Cell","Feature Film","Tarsem Singh","6.2","107","2000","sci_fi, thriller","54273","2000-08-17","http://www.imdb.com/title/tt0209958/"
"88","tt0180093","Sat Mar 10 03:06:21 2012","Sat Mar 10 03:06:21 2012","","Requiem for a Dream","Feature Film","Darren Aronofsky","8.4","102","2000","drama","307442","2000-05-14","http://www.imdb.com/title/tt0180093/"
"89","tt0219699","Thu Oct 11 08:26:56 2012","Thu Oct 11 08:26:56 2012","","The Gift","Feature Film","Sam Raimi","6.7","112","2000","crime, drama, fantasy, mystery, thriller","36132","2000-12-22","http://www.imdb.com/title/tt0219699/"
"90","tt0217869","Sat Mar 10 03:09:48 2012","Sat Mar 10 03:09:48 2012","","Unbreakable","Feature Film","M. Night Shyamalan","7.2","106","2000","drama, mystery, sci_fi, thriller","151869","2000-11-14","http://www.imdb.com/title/tt0217869/"
"91","tt0144084","Sat Mar 10 03:02:16 2012","Sat Mar 10 03:02:16 2012","","American Psycho","Feature Film","Mary Harron","7.6","102","2000","crime, drama","184468","2000-01-21","http://www.imdb.com/title/tt0144084/"
"92","tt0209144","Sat Mar 10 02:52:42 2012","Sat Mar 10 02:52:42 2012","","Memento","Feature Film","Christopher Nolan","8.6","113","2000","mystery, thriller","453088","2000-09-05","http://www.imdb.com/title/tt0209144/"
"93","tt0268978","Sat Mar 10 02:55:31 2012","Sat Mar 10 02:55:31 2012","","A Beautiful Mind","Feature Film","Ron Howard","8.1","135","2001","biography, drama","259736","2001-12-13","http://www.imdb.com/title/tt0268978/"
"94","tt0230600","Sat Mar 10 02:56:34 2012","Sat Mar 10 02:56:34 2012","","The Others","Feature Film","Alejandro Amenábar","7.6","101","2001","drama, mystery, thriller","156553","2001-08-02","http://www.imdb.com/title/tt0230600/"
"95","tt0256009","Sat Mar 10 03:03:12 2012","Sat Mar 10 03:03:12 2012","","The Devil's Backbone","Feature Film","Guillermo del Toro","7.5","106","2001","drama, horror","28219","2001-04-20","http://www.imdb.com/title/tt0256009/"
"96","tt0250258","Sat Mar 10 03:19:07 2012","Sat Mar 10 03:19:07 2012","","Das Experiment","Feature Film","Oliver Hirschbiegel","7.8","","2001","drama, thriller","44984","2001-03-07","http://www.imdb.com/title/tt0250258/"
"97","tt0261983","Sat Mar 10 03:11:35 2012","Sat Mar 10 03:11:35 2012","","Session 9","Feature Film","Brad Anderson","6.6","100","2001","horror, mystery, thriller","26780","2001-07","http://www.imdb.com/title/tt0261983/"
"98","tt0264616","Sun Jun 10 03:22:55 2012","Sun Jun 10 03:22:55 2012","","Frailty","Feature Film","Bill Paxton","7.3","100","2001","crime, drama, thriller","38194","2001-11-17","http://www.imdb.com/title/tt0264616/"
"99","tt0246578","Sat Mar 10 02:56:55 2012","Sat Mar 10 02:56:55 2012","","Donnie Darko","Feature Film","Richard Kelly","8.2","113","2001","drama, mystery, sci_fi","330231","2001-01-19","http://www.imdb.com/title/tt0246578/"
"100","tt0166924","Sat Mar 10 02:52:48 2012","Sat Mar 10 02:52:48 2012","","Mulholland Dr.","Feature Film","David Lynch","8.0","147","2001","drama, mystery, thriller","149867","2001-05-16","http://www.imdb.com/title/tt0166924/"
"101","tt0289765","Sat Mar 10 03:00:43 2012","Sat Mar 10 03:00:43 2012","","Red Dragon","Feature Film","Brett Ratner","7.2","124","2002","thriller","119166","2002-09-30","http://www.imdb.com/title/tt0289765/"
"102","tt0278731","Fri Aug 31 09:35:49 2012","Fri Aug 31 09:35:49 2012","","Spider","Feature Film","David Cronenberg","6.8","98","2002","drama","21516","2002-05-21","http://www.imdb.com/title/tt0278731/"
"103","tt0286106","Sat Mar 10 03:09:40 2012","Sat Mar 10 03:09:40 2012","","Signs","Feature Film","M. Night Shyamalan","6.8","106","2002","drama, mystery, sci_fi, thriller","174655","2002-07-29","http://www.imdb.com/title/tt0286106/"
"104","tt0265459","Sat Mar 10 03:19:47 2012","Sat Mar 10 03:19:47 2012","","One Hour Photo","Feature Film","Mark Romanek","6.8","96","2002","drama, thriller","65497","2002-01-13","http://www.imdb.com/title/tt0265459/"
"105","tt0278504","Sat Mar 10 03:16:40 2012","Sat Mar 10 03:16:40 2012","","Insomnia","Feature Film","Christopher Nolan","7.2","118","2002","crime, mystery, thriller","125524","2002-05-03","http://www.imdb.com/title/tt0278504/"
"106","tt0309698","Sat Mar 10 02:55:55 2012","Sat Mar 10 02:55:55 2012","","Identity","Feature Film","James Mangold","7.3","90","2003","mystery, thriller","102048","2003-04-25","http://www.imdb.com/title/tt0309698/"
"107","tt0365376","Thu Oct 25 09:13:08 2012","Thu Oct 25 09:13:08 2012","","A Tale of Two Sisters","Feature Film","Jee-woon Kim","7.3","115","2003","drama, horror, mystery, thriller","25638","2003-06-13","http://www.imdb.com/title/tt0365376/"
"108","tt0364569","Sat Mar 10 03:06:39 2012","Sat Mar 10 03:06:39 2012","","Oldboy","Feature Film","Chan-wook Park","8.4","120","2003","drama, mystery, thriller","171205","2003-11-21","http://www.imdb.com/title/tt0364569/"
"109","tt0292506","Sat Mar 10 03:43:39 2012","Sat Mar 10 03:43:39 2012","","The Recruit","Feature Film","Roger Donaldson","6.5","115","2003","action, crime, drama, thriller","71446","2003-01-25","http://www.imdb.com/title/tt0292506/"
"110","tt0327056","Sat Mar 10 03:13:44 2012","Sat Mar 10 03:13:44 2012","","Mystic River","Feature Film","Clint Eastwood","8.0","138","2003","crime, drama, mystery, thriller","205189","2003-05-23","http://www.imdb.com/title/tt0327056/"
"111","tt0289879","Sat Mar 10 03:16:52 2012","Sat Mar 10 03:16:52 2012","","The Butterfly Effect","Feature Film","Eric Bress, J. Mackye Gruber","7.7","113","2004","sci_fi, thriller","198090","2004-01-22","http://www.imdb.com/title/tt0289879/"
"112","tt0363988","Thu Oct 25 09:11:20 2012","Thu Oct 25 09:11:20 2012","","Secret Window","Feature Film","David Koepp","6.5","96","2004","mystery, thriller","88328","2004-03-12","http://www.imdb.com/title/tt0363988/"
"113","tt0387564","Sun Jun 10 03:26:28 2012","Sun Jun 10 03:26:28 2012","","Saw","Feature Film","James Wan","7.7","103","2004","crime, horror, mystery","177085","2004-01-19","http://www.imdb.com/title/tt0387564/"
"114","tt0419677","Thu Oct 11 08:23:08 2012","Thu Oct 11 08:23:08 2012","","Dead Man's Shoes","Feature Film","Shane Meadows","7.7","90","2004","crime, drama, thriller","26303","2004-08-20","http://www.imdb.com/title/tt0419677/"
"115","tt0368447","Sat Mar 10 03:19:34 2012","Sat Mar 10 03:19:34 2012","","The Village","Feature Film","M. Night Shyamalan","6.5","108","2004","drama, mystery, thriller","126891","2004-07-26","http://www.imdb.com/title/tt0368447/"
"116","tt0361862","Sat Mar 10 02:52:01 2012","Sat Mar 10 02:52:01 2012","","The Machinist","Feature Film","Brad Anderson","7.8","101","2004","drama, thriller","146707","2004-01-18","http://www.imdb.com/title/tt0361862/"
